"-- Manual","-- Handmatig"
"-- none","-- geen"
"Add your pinterest and twitter username and activate the Pinterest Rich Pins and Twitter Product Cards on product and/or cateogrie level.","Voeg uw pinterest en twitter gebruikersnaam toe, en activeer de Pinterest Rich Pins en Twitter Product Cards op producten en/of catogorizeer niveau."
"Additional Information Block","Toevoegend informatie blok"
"Address,Addres
"Advanced: Custom Layout Update Handle","Geavanceerd: Handmatige Layout Update Handle"
"After Content","Na inhoud"
"Alternate Name","Alternatieve naam"
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages.","Een verbeterde zoekbalk in de zoek resultaten. Wanneer afgebeeld in de zoekmachine resultaten kunnen gebruikers direct zoeken binnen uw website zonder de site te openen."
"Attribute","Attribuut"
"Before Content","Voor Inhoud"
"Brand Attribute","Merk attribuut"
"Category Page Configuration","Categorie Pagina Configuratie"
"Category Rich Snippets: General","Categorie Rich Snippets: Algemeen"
"CMS Pages: Open Graph Facebook Tags","CMS Pagina's: Open Graph Facebook Tags"
"CMS Pages & Homepage Configuration","CMS Pagina's & Homepage Configuratie"
"CMS Pages: Twitter Cards","CMS Pagina's: Twitter Cards"
"Color Attribute","Kleur attribuut"
"Company","Bedrijf"
"Condition Attribute","Conditie attribuut"
"Custom Home Title","Afwijkende Home titel"
"Custom Location","Afwijkende locatie"
"Custom Title","Afwijkende titel"
"Damaged","Beschadigd"
"Default Condition","Standaard conditie"
"Detailed Breadcrumbs","Gedetailleerde Breadcrumbs"
"Display","Laat zien"
"Email","Email"
"Enable","Zet aan"
"Enabled","Aangezet"
"Enter the appropriate Google+ link starting with +.","Voer de Google+ username toe startend met een +."
"Extra Data: Brand","Extra Data: Merk"
"Extra Data: Color","Extra Data: Kleur"
"Extra Data: Description","Extra Data: Omschrijving"
"Extra Data: Model","Extra Data: Model"
"Extra Data: Product Description","Extra Data: Product Omschrijving"
"Extra Data: Product Identifier","Extra Data: Product Identifier"
"Facebook Company Link","Facebook Link"
"Facebook Company username","Facebook Gebruikersnaam"
"Facebook requires the logo to be at least 200px by 200px","Facebook vereist een logo van minstens 200px bij 200px"
"Footer","Voettekst"
